horarioData,cpuUsoFreq,cpuMaxFreq,cpuPorcUso,ramTotal,ramUso,ramPorcUso,dicosTotal,discoUso,discoPorcUso
26-02-2026 22:09:01,2501.0,2501.0,25.4,6129479680,5365592064,87.5,239467159552,212443115520,88.7
26-02-2026 22:09:04,2501.0,2501.0,26.6,6129479680,5369118720,87.6,239467159552,212443115520,88.7
26-02-2026 22:09:07,2501.0,2501.0,25.8,6129479680,5386346496,87.9,239467159552,212443115520,88.7
26-02-2026 22:09:10,2501.0,2501.0,26.2,6129479680,5341814784,87.1,239467159552,212443049984,88.7
26-02-2026 22:09:13,2501.0,2501.0,25.8,6129479680,5329760256,87.0,239467159552,212443049984,88.7
26-02-2026 22:09:16,2501.0,2501.0,28.9,6129479680,5328457728,86.9,239467159552,212443049984,88.7
26-02-2026 22:09:19,2501.0,2501.0,41.2,6129479680,5327265792,86.9,239467159552,212443058176,88.7
26-02-2026 22:09:22,2501.0,2501.0,25.4,6129479680,5304025088,86.5,239467159552,212442992640,88.7
26-02-2026 22:09:25,2501.0,2501.0,26.0,6129479680,5297086464,86.4,239467159552,212443840512,88.7
26-02-2026 22:09:28,2501.0,2501.0,36.6,6129479680,5289111552,86.3,239467159552,212443840512,88.7
26-02-2026 22:09:31,2501.0,2501.0,26.6,6129479680,5297897472,86.4,239467159552,212443840512,88.7
26-02-2026 22:09:34,2501.0,2501.0,27.3,6129479680,5290926080,86.3,239467159552,212443840512,88.7
26-02-2026 22:09:37,2501.0,2501.0,25.3,6129479680,5274955776,86.1,239467159552,212443840512,88.7
26-02-2026 22:09:40,2501.0,2501.0,27.2,6129479680,5237506048,85.4,239467159552,212443705344,88.7
26-02-2026 22:09:43,2501.0,2501.0,28.4,6129479680,5181558784,84.5,239467159552,212443836416,88.7
26-02-2026 22:09:46,2501.0,2501.0,28.5,6129479680,5183127552,84.6,239467159552,212443836416,88.7
26-02-2026 22:09:49,2501.0,2501.0,28.4,6129479680,5183963136,84.6,239467159552,212443836416,88.7
26-02-2026 22:09:52,2501.0,2501.0,26.2,6129479680,5178658816,84.5,239467159552,212443836416,88.7
26-02-2026 22:09:55,2501.0,2501.0,27.3,6129479680,5178245120,84.5,239467159552,212443836416,88.7
26-02-2026 22:09:58,2501.0,2501.0,25.7,6129479680,5178535936,84.5,239467159552,212443967488,88.7
26-02-2026 22:10:01,2501.0,2501.0,33.6,6129479680,5181157376,84.5,239467159552,212443967488,88.7
26-02-2026 22:10:04,2501.0,2501.0,25.0,6129479680,5180874752,84.5,239467159552,212443967488,88.7
26-02-2026 22:10:07,2501.0,2501.0,25.1,6129479680,5196271616,84.8,239467159552,212444033024,88.7
26-02-2026 22:10:10,2501.0,2501.0,25.3,6129479680,5195796480,84.8,239467159552,212444033024,88.7
26-02-2026 22:10:13,2501.0,2501.0,62.3,6129479680,5175951360,84.4,239467159552,212444033024,88.7
26-02-2026 22:10:16,2501.0,2501.0,3.5,6129479680,5181726720,84.5,239467159552,212444033024,88.7
26-02-2026 22:10:19,2501.0,2501.0,11.8,6129479680,5182554112,84.6,239467159552,212444033024,88.7
26-02-2026 22:10:22,2501.0,2501.0,2.3,6129479680,5181308928,84.5,239467159552,212444033024,88.7
26-02-2026 22:10:25,2501.0,2501.0,8.9,6129479680,5165436928,84.3,239467159552,212445343744,88.7
