EMPRESA;REGIAO;DATACENTER;ZONA;SERVIDOR;CPU;RAM_TOTAL;RAM_USADA;RAM_PERCENT;DISCO_TOTAL;DISCO_USADO;DISCO_PERCENT;LATENCIA;PACOTES_ENVIADOS;PACOTES_RECEBIDOS;PACOTES_PERDIDOS;QTD_PR;PROCESSO1_CPU;PORCENTAGEM_PROCESSO1_CPU;PROCESSO2_CPU;PORCENTAGEM_PROCESSO2_CPU;PROCESSO3_CPU;PORCENTAGEM_PROCESSO3_CPU;PROCESSO1_RAM;PORCENTAGEM_PROCESSO1_RAM;PROCESSO2_RAM;PORCENTAGEM_PROCESSO2_RAM;PROCESSO3_RAM;PORCENTAGEM_PROCESSO3_RAM;QTD_NUCLEOS;USO_USER;USO_SISTEM;BOOTTIME;DATA_HORA
STEAM;A1;DATA_CENTER_01;A1;AB043;0.8;25647747072;14069903360;54.9;837765033984;301221855232;36.0;22.953;396330;497796;0;274;System Idle Process;0.0;System Idle Process;0.0;System;0.0;idea64.exe;1575120896;idea64.exe;1575120896;MemCompression;1441144832;4;0.6;1.4;1774997766.981847;04/14/26 22:42:33 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;14.6;25647747072;14123651072;55.1;837765033984;301221953536;36.0;20.191;396606;498064;0;274;System Idle Process;752.1;System Idle Process;752.1;System Idle Process;752.1;idea64.exe;1575190528;idea64.exe;1575190528;MemCompression;1439985664;4;1.4;1.8;1774997766.981847;04/14/26 22:43:15 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;8.7;25647747072;14018433024;54.7;837765033984;301224792064;36.0;21.61;396848;498298;0;275;System Idle Process;767.1;System Idle Process;767.1;System Idle Process;767.1;idea64.exe;1575190528;idea64.exe;1575190528;MemCompression;1439621120;4;0.0;0.4;1774997766.981847;04/14/26 22:43:55 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;0.0;25647747072;13959069696;54.4;837765033984;301225140224;36.0;21.288;397047;498481;0;274;System Idle Process;794.4;System Idle Process;794.4;System Idle Process;794.4;idea64.exe;1575223296;idea64.exe;1575223296;MemCompression;1439637504;4;0.0;0.8;1774997766.981847;04/14/26 22:44:36 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;5.3;25647747072;13925273600;54.3;837765033984;301225472000;36.0;20.696;397311;498751;0;273;System Idle Process;772.3;System Idle Process;772.3;System Idle Process;772.3;idea64.exe;1575591936;idea64.exe;1575591936;MemCompression;1436778496;4;0.2;1.4;1774997766.981847;04/14/26 22:45:16 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;3.7;25647747072;13874753536;54.1;837765033984;301226430464;36.0;20.683;397860;499338;0;272;System Idle Process;760.8;System Idle Process;760.8;System Idle Process;760.8;idea64.exe;2446020608;idea64.exe;2446020608;MemCompression;1171779584;4;5.4;1.2;1774997766.981847;04/14/26 22:45:55 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;5.2;25647747072;14327771136;55.9;837765033984;301226557440;36.0;25.205;398390;499719;0;272;System Idle Process;765.9;System Idle Process;765.9;System Idle Process;765.9;idea64.exe;2446077952;idea64.exe;2446077952;MemCompression;1171668992;4;0.8;1.8;1774997766.981847;04/14/26 22:46:36 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;2.1;25647747072;14303162368;55.8;837765033984;301226557440;36.0;19.788;398703;500015;0;272;System Idle Process;766.3;System Idle Process;766.3;System Idle Process;766.3;idea64.exe;2444267520;idea64.exe;2444267520;MemCompression;1065701376;4;1.4;3.9;1774997766.981847;04/14/26 22:47:16 Tuesday
STEAM;A1;DATA_CENTER_01;A1;AB043;8.2;25647747072;14025764864;54.7;837765033984;301228699648;36.0;20.647;399073;500388;0;262;System Idle Process;748.5;System Idle Process;748.5;System Idle Process;748.5;idea64.exe;2444292096;idea64.exe;2444292096;MemCompression;1065172992;4;1.4;7.4;1774997766.981847;04/14/26 22:47:56 Tuesday
